kev: jaredpalmer/kev-0.8b on cuda (float32)
[1/4500] 9deee0d4f93c6a7867eef08fe3be63be#1 qwen=Ambiguous References | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (1.27s/msg, eta 95 min)
[626/10000] 4155f2bd2867fc750a2d5e2ca5f08cc6#9 qwen=Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (2.04s/msg, eta 319 min)
[627/10000] 4155f2bd2867fc750a2d5e2ca5f08cc6#10 qwen=Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt (2.04s/msg, eta 319 min)
[628/10000] 9ef10078f41d18b6d61a362da2f653cb#1 qwen=Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt (2.04s/msg, eta 319 min)
[629/10000] 90ec52411eb7e0ebc6041a227847bdb6#1 qwen=Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.04s/msg, eta 319 min)
[630/10000] 8996d0049ad78bb76f9c8a6bd688ba9d#1 qwen=Ambiguous References; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.04s/msg, eta 319 min)
[631/10000] 8996d0049ad78bb76f9c8a6bd688ba9d#3 qwen=Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.04s/msg, eta 318 min)
[632/10000] 8996d0049ad78bb76f9c8a6bd688ba9d#4 qwen=Conflicting Constraints; Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.04s/msg, eta 318 min)
[633/10000] 8996d0049ad78bb76f9c8a6bd688ba9d#5 qwen=Conflicting Constraints | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints (2.04s/msg, eta 318 min)
[634/10000] 8996d0049ad78bb76f9c8a6bd688ba9d#6 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Unnecessary Repetition; Conflicting Constraints; Bias / Loaded Framing; Formality / Audience Mismatch (2.04s/msg, eta 318 min)
[635/10000] 8996d0049ad78bb76f9c8a6bd688ba9d#7 qwen=Conflicting Constraints; Ambiguous References | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.04s/msg, eta 318 min)
[636/10000] 6ef4e10430e9b3d9323ca442db592836#1 qwen=Conflicting Constraints | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints (2.04s/msg, eta 318 min)
[637/10000] 6ef4e10430e9b3d9323ca442db592836#2 qwen=Ambiguous References; Unnecessary Repetition | kev=Vague / Missing Context; Overloaded Prompt (2.04s/msg, eta 318 min)
[638/10000] 6ef4e10430e9b3d9323ca442db592836#3 qwen=Format Ambiguity; Overloaded Prompt | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints; Formality / Audience Mismatch (2.04s/msg, eta 318 min)
[639/10000] 4e4a30257640fb95f27ae5c821f58cd3#1 qwen=Unnecessary Repetition | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Bias / Loaded Framing (2.04s/msg, eta 318 min)
[640/10000] 1cb37942d968e6b1aa03a783190d44fb#1 qwen=Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (2.04s/msg, eta 318 min)
[641/10000] 1cb37942d968e6b1aa03a783190d44fb#2 qwen=Ambiguous References; Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Bias / Loaded Framing; Formality / Audience Mismatch (2.04s/msg, eta 318 min)
[642/10000] 1cb37942d968e6b1aa03a783190d44fb#3 qwen=Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt (2.04s/msg, eta 318 min)
[643/10000] ba3b84be2cd6597b8558b718b25afb12#1 qwen=Ambiguous References; Overloaded Prompt | kev=Vague / Missing Context; Overloaded Prompt; Unnecessary Repetition; Conflicting Constraints (2.04s/msg, eta 318 min)
[644/10000] ba3b84be2cd6597b8558b718b25afb12#2 qwen=Ambiguous References; Unnecessary Repetition | kev=Vague / Missing Context; Overloaded Prompt; Unnecessary Repetition; Conflicting Constraints (2.04s/msg, eta 318 min)
[645/10000] 931a394230ea521e7573258d15e0ff9d#1 qwen=Unnecessary Repetition | kev=Vague / Missing Context; Format Ambiguity; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints (2.04s/msg, eta 318 min)
[646/10000] 931a394230ea521e7573258d15e0ff9d#2 qwen=Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Bias / Loaded Framing; Formality / Audience Mismatch (2.04s/msg, eta 318 min)
[647/10000] 931a394230ea521e7573258d15e0ff9d#3 qwen=Overloaded Prompt; Unnecessary Repetition | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Formality / Audience Mismatch (2.04s/msg, eta 318 min)
[648/10000] 931a394230ea521e7573258d15e0ff9d#4 qwen=None | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Formality / Audience Mismatch (2.04s/msg, eta 318 min)
[649/10000] 931a394230ea521e7573258d15e0ff9d#5 qwen=Ambiguous References; Overloaded Prompt | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Bias / Loaded Framing; Formality / Audience Mismatch (2.04s/msg, eta 318 min)
[650/10000] 0d089c84e627cf7065c0db5b03761e11#1 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing; Formality / Audience Mismatch (2.04s/msg, eta 318 min)
[651/10000] 0d089c84e627cf7065c0db5b03761e11#2 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing; Formality / Audience Mismatch (2.04s/msg, eta 318 min)
[652/10000] 0d089c84e627cf7065c0db5b03761e11#3 qwen=Vague / Missing Context; Ambiguous References | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Formality / Audience Mismatch (2.04s/msg, eta 318 min)
[653/10000] 0d089c84e627cf7065c0db5b03761e11#4 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.04s/msg, eta 318 min)
[654/10000] df03311eff36667a986ccb87b6923374#1 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.04s/msg, eta 318 min)
[655/10000] ff5bf7dd8390d160820d634aa098affc#1 qwen=None | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.04s/msg, eta 318 min)
[656/10000] ae2a83a1f375f1401e3e97fe226203f3#2 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (2.04s/msg, eta 318 min)
[657/10000] 51166707235a1ca0ae5ab8e585dc1542#2 qwen=Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.04s/msg, eta 318 min)
[658/10000] 3183588b5f5c18fb0118c7e463169611#1 qwen=Prompt Bloat / Convoluted Prompt; Ambiguous References | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Bias / Loaded Framing; Formality / Audience Mismatch (2.05s/msg, eta 319 min)
[659/10000] db72047207df73bc35bbec2f756f672d#1 qwen=Conflicting Constraints | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints (2.05s/msg, eta 318 min)
[660/10000] 217ff16fb023168658795556c6262b7d#1 qwen=Overloaded Prompt; Conflicting Constraints | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints (2.05s/msg, eta 318 min)
[661/10000] 21435db40173437377af117c812d16f8#1 qwen=Vague / Missing Context; Ambiguous References | kev=Vague / Missing Context; Overloaded Prompt (2.04s/msg, eta 318 min)
[662/10000] 44f7c7d988bcfd590093c6c7d392991a#1 qwen=Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt (2.04s/msg, eta 318 min)
[663/10000] 44f7c7d988bcfd590093c6c7d392991a#2 qwen=Format Ambiguity; Overloaded Prompt | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (2.04s/msg, eta 318 min)
[664/10000] 44f7c7d988bcfd590093c6c7d392991a#3 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.04s/msg, eta 318 min)
[665/10000] 44f7c7d988bcfd590093c6c7d392991a#4 qwen=Ambiguous References; Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.04s/msg, eta 318 min)
[666/10000] 6449f421b1af4c801bb1981b1b961483#1 qwen=Vague / Missing Context | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints; Bias / Loaded Framing (2.04s/msg, eta 318 min)
[667/10000] 06a0ad2b41fbe164fc0649e3706fed70#1 qwen=Vague / Missing Context; Ambiguous References | kev=Vague / Missing Context; Overloaded Prompt (2.04s/msg, eta 318 min)
[668/10000] 5a4351f4361472cf7bc39c47690b19c4#1 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.04s/msg, eta 318 min)
[669/10000] 5a4351f4361472cf7bc39c47690b19c4#2 qwen=Vague / Missing Context; Ambiguous References | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.04s/msg, eta 318 min)
[670/10000] a7d0531905bd7c676109e317c9338c74#1 qwen=Vague / Missing Context; Ambiguous References | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.04s/msg, eta 318 min)
[671/10000] a7d0531905bd7c676109e317c9338c74#2 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (2.04s/msg, eta 318 min)
[672/10000] cfc41d12f22de2ebb7d2770cde51dd9b#1 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.04s/msg, eta 318 min)
[673/10000] 4777e8252a7b7db71f6394dc92f0f777#1 qwen=Format Ambiguity; Vague / Missing Context | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints; Bias / Loaded Framing (2.04s/msg, eta 318 min)
[674/10000] 4777e8252a7b7db71f6394dc92f0f777#2 qwen=Vague / Missing Context | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (2.04s/msg, eta 318 min)
[675/10000] 4777e8252a7b7db71f6394dc92f0f777#3 qwen=Vague / Missing Context; Ambiguous References | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Bias / Loaded Framing (2.04s/msg, eta 318 min)
[676/10000] 4777e8252a7b7db71f6394dc92f0f777#4 qwen=Ambiguous References; Overloaded Prompt | kev=Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Bias / Loaded Framing; Formality / Audience Mismatch (2.05s/msg, eta 318 min)
[677/10000] 4777e8252a7b7db71f6394dc92f0f777#5 qwen=Ambiguous References; Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing; Formality / Audience Mismatch (2.05s/msg, eta 318 min)
[678/10000] 4777e8252a7b7db71f6394dc92f0f777#6 qwen=Vague / Missing Context; Ambiguous References | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Bias / Loaded Framing (2.05s/msg, eta 318 min)
[679/10000] 4777e8252a7b7db71f6394dc92f0f777#7 qwen=Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Formality / Audience Mismatch (2.05s/msg, eta 318 min)
[680/10000] 4777e8252a7b7db71f6394dc92f0f777#8 qwen=Vague / Missing Context; Overloaded Prompt | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints (2.05s/msg, eta 318 min)
[681/10000] 230a17b4e97d95fac97c4a734bfd5fa7#1 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.05s/msg, eta 318 min)
[682/10000] 5d88301d584ab9f1f8085fdf86004444#1 qwen=Ambiguous References; Conflicting Constraints | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints (2.05s/msg, eta 318 min)
[683/10000] 5d88301d584ab9f1f8085fdf86004444#2 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.05s/msg, eta 318 min)
[684/10000] 5d88301d584ab9f1f8085fdf86004444#3 qwen=Conflicting Constraints | kev=Vague / Missing Context; Overloaded Prompt; Formality / Audience Mismatch (2.05s/msg, eta 318 min)
[685/10000] 48cef2f01eaf767fded8ae280332bedc#1 qwen=Ambiguous References; Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.05s/msg, eta 318 min)
[686/10000] f443b28d33d4e126b54ac3ad98dbf7c7#1 qwen=Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.05s/msg, eta 318 min)
[687/10000] f443b28d33d4e126b54ac3ad98dbf7c7#2 qwen=Ambiguous References; Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt (2.05s/msg, eta 318 min)
[688/10000] f443b28d33d4e126b54ac3ad98dbf7c7#3 qwen=Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.05s/msg, eta 318 min)
[689/10000] f443b28d33d4e126b54ac3ad98dbf7c7#4 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.05s/msg, eta 318 min)
[690/10000] f443b28d33d4e126b54ac3ad98dbf7c7#5 qwen=Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt (2.05s/msg, eta 317 min)
[691/10000] f443b28d33d4e126b54ac3ad98dbf7c7#6 qwen=Vague / Missing Context; Format Ambiguity | kev=Overloaded Prompt; Conflicting Constraints (2.05s/msg, eta 317 min)
[692/10000] 15a4fd63fc2fb9d67968ca09a4c824d4#1 qwen=Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (2.05s/msg, eta 317 min)
[693/10000] 15a4fd63fc2fb9d67968ca09a4c824d4#2 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.05s/msg, eta 317 min)
[694/10000] 15a4fd63fc2fb9d67968ca09a4c824d4#3 qwen=Vague / Missing Context; Ambiguous References | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Formality / Audience Mismatch (2.05s/msg, eta 317 min)
[695/10000] 15a4fd63fc2fb9d67968ca09a4c824d4#4 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Unnecessary Repetition; Conflicting Constraints; Bias / Loaded Framing (2.05s/msg, eta 317 min)
[696/10000] 15a4fd63fc2fb9d67968ca09a4c824d4#5 qwen=Vague / Missing Context; Ambiguous References | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.05s/msg, eta 317 min)
[697/10000] f5af8a4bd43cd29617991db2d95ab5bb#1 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (2.05s/msg, eta 317 min)
[698/10000] fea282be5a78f0d6973cae8de465bbfe#1 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Formality / Audience Mismatch (2.04s/msg, eta 317 min)
[699/10000] c81b89325eb53777cf1ec1135ddfaf8f#1 qwen=Vague / Missing Context; Ambiguous References | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (2.04s/msg, eta 317 min)
[700/10000] 951392f185fffc326426677c574b351e#1 qwen=Vague / Missing Context; Ambiguous References; Format Ambiguity | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Irrelevant / Excessive Persona; Bias / Loaded Framing; Formality / Audience Mismatch (2.04s/msg, eta 317 min)
[701/10000] da0354bebabd4bbd687ba97fa805bb74#1 qwen=Ambiguous References | kev=Vague / Missing Context; Overloaded Prompt (2.04s/msg, eta 317 min)
[702/10000] 44e9bb65071d06bf72821c375278fc50#1 qwen=Vague / Missing Context | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Irrelevant / Excessive Persona; Bias / Loaded Framing; Formality / Audience Mismatch (2.04s/msg, eta 317 min)
[703/10000] 1421ad2e15058bfb60a2df122bd1583d#1 qwen=Ambiguous References; Conflicting Constraints | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints (2.04s/msg, eta 317 min)
[704/10000] 1421ad2e15058bfb60a2df122bd1583d#2 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.04s/msg, eta 317 min)
[705/10000] 2645c8ff43df36533a35f2181bdb346f#1 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.04s/msg, eta 317 min)
[706/10000] 895081527702c290deeb02f3888051c8#2 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints; Formality / Audience Mismatch (2.04s/msg, eta 317 min)
[707/10000] e532068dff04599b49a14a2dcea07b44#1 qwen=Ambiguous References; Conflicting Constraints | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Irrelevant / Excessive Persona; Bias / Loaded Framing; Formality / Audience Mismatch (2.04s/msg, eta 317 min)
[708/10000] 40dc954680a73bbe8f62e0d2b4e7a1b9#1 qwen=Irrelevant / Excessive Persona | kev=Vague / Missing Context; Ambiguous References; Format Ambiguity; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Bias / Loaded Framing (2.05s/msg, eta 317 min)
[709/10000] 514bcd1f05f28475d98ca61cf40c7df1#1 qwen=Vague / Missing Context; Ambiguous References | kev=Vague / Missing Context; Format Ambiguity; Overloaded Prompt; Conflicting Constraints (2.05s/msg, eta 317 min)
[710/10000] 4ecfb62c9829262af13576f47b7115ae#1 qwen=Unnecessary Repetition | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Irrelevant / Excessive Persona; Bias / Loaded Framing; Formality / Audience Mismatch (2.05s/msg, eta 317 min)
[711/10000] 57a24b9ddc09293f98687d1e1cbc4395#1 qwen=Vague / Missing Context; Ambiguous References | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Conflicting Constraints (2.05s/msg, eta 317 min)
[712/10000] 57a24b9ddc09293f98687d1e1cbc4395#2 qwen=Vague / Missing Context | kev=Vague / Missing Context; Conflicting Constraints; Bias / Loaded Framing (2.04s/msg, eta 317 min)
[713/10000] 08af82513fa61dc4e148bd06c89fe133#1 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt (2.04s/msg, eta 316 min)
[714/10000] 08af82513fa61dc4e148bd06c89fe133#2 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt (2.04s/msg, eta 316 min)
[715/10000] 2fe9fce8649119707a05d48a52cc736f#4 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.04s/msg, eta 316 min)
[716/10000] 1a8960172d0f0ffbb94a8ffc9751f610#1 qwen=Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints (2.04s/msg, eta 316 min)
[717/10000] 3a84ad59ca5b0e2545b458e0068d4bfa#1 qwen=Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (2.04s/msg, eta 316 min)
[718/10000] f443b5e53a79f01685765ea5c4a5f91e#1 qwen=Ambiguous References; Overloaded Prompt | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Irrelevant / Excessive Persona; Bias / Loaded Framing; Formality / Audience Mismatch (2.04s/msg, eta 316 min)
[719/10000] a59b4b976a24b9f74d4eab02ed141b8c#1 qwen=Unnecessary Repetition; Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.04s/msg, eta 316 min)
[720/10000] 1805293fb4f1c3ae39bbaab5d9fb625e#1 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.04s/msg, eta 316 min)
[721/10000] 33f0f2f8773fbf2316be15b5137a7799#1 qwen=None | kev=Vague / Missing Context; Overloaded Prompt; Unnecessary Repetition; Conflicting Constraints (2.04s/msg, eta 316 min)
[722/10000] 33f0f2f8773fbf2316be15b5137a7799#2 qwen=Ambiguous References; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.04s/msg, eta 316 min)
[723/10000] 33f0f2f8773fbf2316be15b5137a7799#3 qwen=None | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.04s/msg, eta 316 min)
[724/10000] 33f0f2f8773fbf2316be15b5137a7799#4 qwen=None | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing; Formality / Audience Mismatch (2.04s/msg, eta 316 min)
[725/10000] 33f0f2f8773fbf2316be15b5137a7799#5 qwen=Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints (2.04s/msg, eta 316 min)
[726/10000] ee0cf02eb781b3d551d90d2b2f940655#1 qwen=Ambiguous References; Overloaded Prompt | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Irrelevant / Excessive Persona; Bias / Loaded Framing; Formality / Audience Mismatch (2.04s/msg, eta 316 min)
[727/10000] 0769a078d1c5c65fa2955d7e71ce589e#1 qwen=Bias / Loaded Framing; Unnecessary Repetition | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints (2.04s/msg, eta 316 min)
[728/10000] 72f88d6705e54477b2c9e56fcac2a9fd#1 qwen=Ambiguous References; Unnecessary Repetition | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Irrelevant / Excessive Persona; Bias / Loaded Framing; Formality / Audience Mismatch (2.04s/msg, eta 316 min)
[729/10000] 51bc669b97949b32b584a21c915accb4#1 qwen=Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.04s/msg, eta 316 min)
[730/10000] 51bc669b97949b32b584a21c915accb4#2 qwen=Ambiguous References; Overloaded Prompt | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.05s/msg, eta 316 min)
[731/10000] f70407cf3670b423785d0afea2492150#2 qwen=Ambiguous References; Unnecessary Repetition | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints; Formality / Audience Mismatch (2.05s/msg, eta 316 min)
[732/10000] f70407cf3670b423785d0afea2492150#3 qwen=Vague / Missing Context | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints; Formality / Audience Mismatch (2.05s/msg, eta 316 min)
[733/10000] f70407cf3670b423785d0afea2492150#4 qwen=Vague / Missing Context | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints; Bias / Loaded Framing; Formality / Audience Mismatch (2.04s/msg, eta 316 min)
[734/10000] f70407cf3670b423785d0afea2492150#5 qwen=Ambiguous References; Unnecessary Repetition | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints (2.04s/msg, eta 316 min)
[735/10000] f70407cf3670b423785d0afea2492150#6 qwen=Ambiguous References; Vague / Missing Context | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints (2.04s/msg, eta 316 min)
[736/10000] 47adda60ca66079df77f9a0252ba63f2#1 qwen=Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (2.04s/msg, eta 316 min)
[737/10000] 3bb5cac0741cf1c64a26f9fc6c722837#1 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (2.04s/msg, eta 316 min)
[738/10000] 3bb5cac0741cf1c64a26f9fc6c722837#2 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Unnecessary Repetition; Conflicting Constraints; Bias / Loaded Framing (2.04s/msg, eta 316 min)
[739/10000] 3bb5cac0741cf1c64a26f9fc6c722837#3 qwen=Ambiguous References; Overloaded Prompt | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (2.04s/msg, eta 316 min)
[740/10000] 3bb5cac0741cf1c64a26f9fc6c722837#4 qwen=None | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Formality / Audience Mismatch (2.04s/msg, eta 315 min)
[741/10000] ede6219f4da9c473a4fb3d7a109817cb#1 qwen=Ambiguous References; Unnecessary Repetition | kev=Vague / Missing Context; Ambiguous References; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Bias / Loaded Framing; Formality / Audience Mismatch (2.04s/msg, eta 315 min)
[742/10000] 8772b0f847f34f8c2fd5622b9fbbc702#1 qwen=Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (2.04s/msg, eta 315 min)
